1-2k,,2-3k,,3-4k,,4-5k,,5-6k,,6-7.5k,,7.5-10k,
Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),,Wavelength (nm),
245,48.99297,245,48.94566,245,49.13009,245,45.71465,245,46.71205,245,44.87506,245,44.21183
244,49.20429,244,49.1586,244,49.39663,244,46.21086,244,47.33512,244,45.18795,244,44.51336
243,49.42318,243,49.02663,243,49.63621,243,46.22135,243,47.45595,243,45.44177,243,44.73168
242,48.89992,242,48.88785,242,49.31253,242,46.3267,242,47.41219,242,45.43648,242,44.76748
241,49.18958,241,48.89214,241,49.64452,241,46.45249,241,47.75926,241,45.7796,241,45.12851
240,48.87141,240,49.07668,240,49.43159,240,46.27556,240,47.84101,240,45.76216,240,45.36994
239,49.13645,239,48.69885,239,49.59707,239,46.4229,239,47.88872,239,46.03421,239,45.60363
238,48.90547,238,48.83194,238,49.61875,238,46.40152,238,47.75068,238,46.2269,238,45.56485
237,48.78383,237,48.7745,237,49.35703,237,46.66507,237,48.11295,237,46.26191,237,45.78288
236,48.71712,236,48.53166,236,49.31842,236,46.51561,236,48.09562,236,46.29262,236,45.70683
235,48.46679,235,48.69601,235,49.33812,235,46.59537,235,48.10854,235,46.50573,235,46.01121
234,48.31138,234,48.40601,234,49.25986,234,46.26678,234,48.18587,234,46.2019,234,46.1043
233,48.27746,233,48.19678,233,49.13942,233,46.2573,233,48.40228,233,46.46333,233,45.99612
232,48.13443,232,47.98479,232,48.84189,232,46.33712,232,48.19916,232,46.45865,232,46.28784
231,47.85708,231,47.69347,231,48.65466,231,46.07279,231,47.95815,231,46.35304,231,46.10149
230,47.50529,230,47.46951,230,48.51558,230,45.7315,230,47.87966,230,46.33859,230,46.00804
229,47.00762,229,47.3702,229,48.32973,229,45.72302,229,48.1826,229,46.0394,229,46.03343
228,46.51655,228,47.08574,228,47.78002,228,45.67174,228,47.94032,228,45.90607,228,45.91773
227,45.96605,227,46.48201,227,47.38522,227,45.03229,227,47.74108,227,45.70381,227,45.48337
226,45.53156,226,45.95392,226,46.70322,226,44.77737,226,47.46151,226,45.39591,226,45.46415
225,44.7338,225,45.34082,225,46.47709,225,44.33268,225,46.74303,225,45.057,225,45.20082
224,44.00771,224,45.02196,224,45.77131,224,43.92604,224,46.86872,224,44.36489,224,44.69552
223,42.89298,223,44.23006,223,45.18487,223,43.07186,223,46.67423,223,44.01624,223,44.40143
222,42.20733,222,43.31965,222,44.70192,222,42.75621,222,46.04452,222,43.37027,222,43.74396
221,40.85449,221,42.61773,221,43.66642,221,41.83676,221,45.43225,221,42.89953,221,43.24997
220,39.59035,220,41.78937,220,42.98693,220,41.10339,220,44.75287,220,42.42654,220,42.71842
